# Version 1.00
#
# Rohde & Schwarz ZVL6 2Ports - Version 3.20 - 1303.6509k06 SN: 100942
# Date: 2025-12-02 17:01:02
# Data & Calibration Information:
# Trc2:S12(Cal Off)
freq[Hz]	Trc2_S12[dB]	
1.120650000000000E+006	9.276664356513402E+000	
1.128100000000000E+006	9.255166689048126E+000	
1.135550000000000E+006	9.230576477779559E+000	
1.143000000000000E+006	9.222718963064187E+000	
1.150450000000000E+006	9.204924144294500E+000	
1.157900000000000E+006	9.194374319359548E+000	
1.165350000000000E+006	9.163007004930622E+000	
1.172800000000000E+006	9.153829547191091E+000	
1.180250000000000E+006	9.128832299651210E+000	
1.187700000000000E+006	9.121878506609848E+000	
1.195150000000000E+006	9.098372425949973E+000	
1.202600000000000E+006	9.062901931872727E+000	
1.210050000000000E+006	9.046840417340782E+000	
1.217500000000000E+006	9.043616673761161E+000	
1.224950000000000E+006	9.034854800984155E+000	
1.232400000000000E+006	9.023785457554629E+000	
1.239850000000000E+006	8.996143985317119E+000	
1.247300000000000E+006	8.994759232099172E+000	
1.254750000000000E+006	8.984535239197793E+000	
1.262200000000000E+006	8.955069380550645E+000	
1.269650000000000E+006	8.943530112457999E+000	
1.277100000000000E+006	8.939081769790720E+000	
1.284550000000000E+006	8.924534898113869E+000	
1.292000000000000E+006	8.905856020651104E+000	
1.299450000000000E+006	8.894544648930898E+000	
1.306900000000000E+006	8.869954842991383E+000	
1.314350000000000E+006	8.874195064507925E+000	
1.321800000000000E+006	8.836589764756136E+000	
1.329250000000000E+006	8.832251745317075E+000	
1.336700000000000E+006	8.812681488225030E+000	
1.344150000000000E+006	8.800035683500065E+000	
1.351600000000000E+006	8.800678035786598E+000	
1.359050000000000E+006	8.776670290667544E+000	
1.366500000000000E+006	8.747765399242834E+000	
1.373950000000000E+006	8.741307733838372E+000	
1.381400000000000E+006	8.736214977569880E+000	
1.388850000000000E+006	8.709645059744624E+000	
1.396300000000000E+006	8.709043034217149E+000	
1.403750000000000E+006	8.685966121566482E+000	
1.411200000000000E+006	8.692579527730867E+000	
1.418650000000000E+006	8.660222398835886E+000	
1.426100000000000E+006	8.650272950552395E+000	
1.433550000000000E+006	8.630161607963155E+000	
1.441000000000000E+006	8.617084099551420E+000	
1.448450000000000E+006	8.612888830960165E+000	
1.455900000000000E+006	8.592463404923297E+000	
1.463350000000000E+006	8.573454010921102E+000	
1.470800000000000E+006	8.557531268419163E+000	
1.478250000000000E+006	8.551454463915480E+000	
1.485700000000000E+006	8.538930379918181E+000	
1.493150000000000E+006	8.519478393232102E+000	
1.500600000000000E+006	8.505228705974625E+000	
1.508050000000000E+006	8.482116887586212E+000	
1.515500000000000E+006	8.475475746046815E+000	
1.522950000000000E+006	8.453184471745241E+000	
1.530400000000000E+006	8.431848513580807E+000	
1.537850000000000E+006	8.413135992760843E+000	
1.545300000000000E+006	8.400846063101097E+000	
1.552750000000000E+006	8.372833551147620E+000	
1.560200000000000E+006	8.345311135917147E+000	
1.567650000000000E+006	8.336202880350774E+000	
1.575100000000000E+006	8.311991159143258E+000	
1.582550000000000E+006	8.296477829503145E+000	
1.590000000000000E+006	8.271249898220942E+000	
1.597450000000000E+006	8.239436370512900E+000	
1.604900000000000E+006	8.215272203327370E+000	
1.612350000000000E+006	8.180414513563878E+000	
1.619800000000000E+006	8.170976934406353E+000	
1.627250000000000E+006	8.145095499380892E+000	
1.634700000000000E+006	8.117802166247454E+000	
1.642150000000000E+006	8.105010239759720E+000	
1.649600000000000E+006	8.078260875562352E+000	
1.657050000000000E+006	8.052507434168213E+000	
1.664500000000000E+006	8.031316316811825E+000	
1.671950000000000E+006	7.996726453048841E+000	
1.679400000000000E+006	7.990007598253945E+000	
1.686850000000000E+006	7.960408063484039E+000	
1.694300000000000E+006	7.941327123374173E+000	
1.701750000000000E+006	7.914711302617110E+000	
1.709200000000000E+006	7.901066005469458E+000	
1.716650000000000E+006	7.881821623629542E+000	
1.724100000000000E+006	7.852363540098397E+000	
1.731550000000000E+006	7.833102709880792E+000	
1.739000000000000E+006	7.811137482078365E+000	
1.746450000000000E+006	7.783345828146758E+000	
1.753900000000000E+006	7.762858996807522E+000	
1.761350000000000E+006	7.742520064301104E+000	
1.768800000000000E+006	7.723498636152926E+000	
1.776250000000000E+006	7.688032051087790E+000	
1.783700000000000E+006	7.673553379123608E+000	
1.791150000000000E+006	7.649175062958288E+000	
1.798600000000000E+006	7.621836336010851E+000	
1.806050000000000E+006	7.595927805776699E+000	
1.813500000000000E+006	7.583917381669689E+000	
1.820950000000000E+006	7.553375939464726E+000	
1.828400000000000E+006	7.517915905244211E+000	
1.835850000000000E+006	7.500892389615985E+000	
1.843300000000000E+006	7.473432410194052E+000	
1.850750000000000E+006	7.445166633474308E+000	
1.858200000000000E+006	7.431006066681766E+000	
1.865650000000000E+006	7.399168396227099E+000	
1.873100000000000E+006	7.376553863011237E+000	
1.880550000000000E+006	7.349093659912901E+000	
1.888000000000000E+006	7.319371039393351E+000	
1.895450000000000E+006	7.303341159919087E+000	
1.902900000000000E+006	7.277713763026448E+000	
1.910350000000000E+006	7.248675620978510E+000	
1.917800000000000E+006	7.221763222855598E+000	
1.925250000000000E+006	7.199045397590112E+000	
1.932700000000000E+006	7.170810400047968E+000	
1.940150000000000E+006	7.139950254775224E+000	
1.947600000000000E+006	7.123489793636919E+000	
1.955050000000000E+006	7.089567198657719E+000	
1.962500000000000E+006	7.056492892283178E+000	
1.969950000000000E+006	7.040860075863213E+000	
1.977400000000000E+006	7.015334959782081E+000	
1.984850000000000E+006	6.979982622640280E+000	
1.992300000000000E+006	6.967528569619186E+000	
1.999750000000000E+006	6.923221160440153E+000	
2.007200000000000E+006	6.900755915461262E+000	
2.014650000000000E+006	6.875375441892844E+000	
2.022100000000000E+006	6.852673691044886E+000	
2.029550000000000E+006	6.817619113282817E+000	
2.037000000000000E+006	6.784136452806640E+000	
2.044450000000000E+006	6.761063603287016E+000	
2.051900000000000E+006	6.730900401727190E+000	
2.059350000000000E+006	6.710559920350964E+000	
2.066800000000000E+006	6.677662333643641E+000	
2.074250000000000E+006	6.641553598995855E+000	
2.081700000000000E+006	6.618261341891140E+000	
2.089150000000000E+006	6.587654693810952E+000	
2.096600000000000E+006	6.559583111305154E+000	
2.104050000000000E+006	6.532594044652267E+000	
2.111500000000000E+006	6.488127318225024E+000	
2.118950000000000E+006	6.467705750240585E+000	
2.126400000000000E+006	6.433087464874423E+000	
2.133850000000000E+006	6.404446179006201E+000	
2.141300000000000E+006	6.359327139164201E+000	
2.148750000000000E+006	6.336259186759930E+000	
2.156200000000000E+006	6.305196904038559E+000	
2.163650000000000E+006	6.275315201661532E+000	
2.171100000000000E+006	6.243102142730721E+000	
2.178550000000000E+006	6.214263614319783E+000	
2.186000000000000E+006	6.176782933175954E+000	
2.193450000000000E+006	6.138844997603996E+000	
2.200900000000000E+006	6.111196347273026E+000	
2.208350000000000E+006	6.087808394805131E+000	
2.215800000000000E+006	6.052569240562883E+000	
2.223250000000000E+006	6.017267716754491E+000	
2.230700000000000E+006	5.987855762297543E+000	
2.238150000000000E+006	5.954167997040839E+000	
2.245600000000000E+006	5.907632814576247E+000	
2.253050000000000E+006	5.880505902949742E+000	
2.260500000000000E+006	5.843805788469893E+000	
2.267950000000000E+006	5.811591904889156E+000	
2.275400000000000E+006	5.771337796445793E+000	
2.282850000000000E+006	5.743563042559997E+000	
2.290300000000000E+006	5.715937291101382E+000	
2.297750000000000E+006	5.669846270781525E+000	
2.305200000000000E+006	5.643213290859567E+000	
2.312650000000000E+006	5.599467178372496E+000	
2.320100000000000E+006	5.570735900094789E+000	
2.327550000000000E+006	5.539933791300724E+000	
2.335000000000000E+006	5.499725271415736E+000	
2.342450000000000E+006	5.466763618208208E+000	
2.349900000000000E+006	5.431909478333957E+000	
2.357350000000000E+006	5.389922640546518E+000	
2.364800000000000E+006	5.354406146542678E+000	
2.372250000000000E+006	5.317457085651069E+000	
2.379700000000000E+006	5.285887267701075E+000	
2.387150000000000E+006	5.241076598648889E+000	
2.394600000000000E+006	5.211367193065331E+000	
2.402050000000000E+006	5.175839814827705E+000	
2.409500000000000E+006	5.138132892827570E+000	
2.416950000000000E+006	5.102060864491702E+000	
2.424400000000000E+006	5.059828517268667E+000	
2.431850000000000E+006	5.024723319211308E+000	
2.439300000000000E+006	4.988731285349381E+000	
2.446750000000000E+006	4.955722219987202E+000	
2.454200000000000E+006	4.912048366113035E+000	
2.461650000000000E+006	4.880825558018628E+000	
2.469100000000000E+006	4.838659524759494E+000	
2.476550000000000E+006	4.807193670728634E+000	
2.484000000000000E+006	4.754266340406005E+000	
2.491450000000000E+006	4.721150423856725E+000	
2.498900000000000E+006	4.684015733417928E+000	
2.506350000000000E+006	4.641899113225562E+000	
2.513800000000000E+006	4.605647717480876E+000	
2.521250000000000E+006	4.570421148113470E+000	
2.528700000000000E+006	4.520987205292498E+000	
2.536150000000000E+006	4.487080174968373E+000	
2.543600000000000E+006	4.445699753719642E+000	
2.551050000000000E+006	4.403963931268257E+000	
2.558500000000000E+006	4.365100881039644E+000	
2.565950000000000E+006	4.331953052632176E+000	
2.573400000000000E+006	4.286618356947463E+000	
2.580850000000000E+006	4.238617565602635E+000	
2.588300000000000E+006	4.211821060920396E+000	
2.595750000000000E+006	4.161370347195708E+000	
2.603200000000000E+006	4.125536151791295E+000	
2.610650000000000E+006	4.072181948157773E+000	
2.618100000000000E+006	4.037888906171066E+000	
2.625550000000000E+006	3.987902377207435E+000	
2.633000000000000E+006	3.952933799303228E+000	
2.640450000000000E+006	3.913098847725667E+000	
2.647900000000000E+006	3.863224883177563E+000	
2.655350000000000E+006	3.820134316448225E+000	
2.662800000000000E+006	3.785099670823308E+000	
2.670250000000000E+006	3.739072209494133E+000	
2.677700000000000E+006	3.699857742498427E+000	
2.685150000000000E+006	3.652677639167372E+000	
2.692600000000000E+006	3.604668071871410E+000	
2.700050000000000E+006	3.563248968005005E+000	
2.707500000000000E+006	3.522257516208527E+000	
2.714950000000000E+006	3.476024262659322E+000	
2.722400000000000E+006	3.419809426866349E+000	
2.729850000000000E+006	3.391925413851110E+000	
2.737300000000000E+006	3.340062177565439E+000	
2.744750000000000E+006	3.289058256163770E+000	
2.752200000000000E+006	3.244397345493896E+000	
2.759650000000000E+006	3.195887572011850E+000	
2.767100000000000E+006	3.151573134715672E+000	
2.774550000000000E+006	3.106830038002610E+000	
2.782000000000000E+006	3.055839772740262E+000	
2.789450000000000E+006	3.015945799780490E+000	
2.796900000000000E+006	2.964601018629925E+000	
2.804350000000000E+006	2.918639724181411E+000	
2.811800000000000E+006	2.867989736902963E+000	
2.819250000000000E+006	2.820263852591517E+000	
2.826700000000000E+006	2.768462915466939E+000	
2.834150000000000E+006	2.716766302750655E+000	
2.841600000000000E+006	2.673302927518255E+000	
2.849050000000000E+006	2.632495073737251E+000	
2.856500000000000E+006	2.573611811932593E+000	
2.863950000000000E+006	2.529899207698681E+000	
2.871400000000000E+006	2.479592325786622E+000	
2.878850000000000E+006	2.429564354134731E+000	
2.886300000000000E+006	2.385054712375386E+000	
2.893750000000000E+006	2.337504406418479E+000	
2.901200000000000E+006	2.277606959467874E+000	
2.908650000000000E+006	2.229972973306750E+000	
2.916100000000000E+006	2.177466152752508E+000	
2.923550000000000E+006	2.120040018554817E+000	
2.931000000000000E+006	2.082900495221450E+000	
2.938450000000000E+006	2.023958034241357E+000	
2.945900000000000E+006	1.969302109599526E+000	
2.953350000000000E+006	1.915272582405182E+000	
2.960800000000000E+006	1.863950622145346E+000	
2.968250000000000E+006	1.807561698503329E+000	
2.975700000000000E+006	1.759245477167814E+000	
2.983150000000000E+006	1.693255876920583E+000	
2.990600000000000E+006	1.646613125988652E+000	
2.998050000000000E+006	1.589221406083328E+000	
3.005500000000000E+006	1.528776696332572E+000	
3.012950000000000E+006	1.477672640553584E+000	
3.020400000000000E+006	1.430973380753363E+000	
3.027850000000000E+006	1.368003713409039E+000	
3.035300000000000E+006	1.314876223641310E+000	
3.042750000000000E+006	1.259620582572721E+000	
3.050200000000000E+006	1.198264803789957E+000	
3.057650000000000E+006	1.145124798771161E+000	
3.065100000000000E+006	1.084905962108941E+000	
3.072550000000000E+006	1.025939183632166E+000	
3.080000000000000E+006	9.688371204674592E-001	
3.087450000000000E+006	9.122168679164492E-001	
3.094900000000000E+006	8.560134437245180E-001	
3.102350000000000E+006	7.926802464144982E-001	
3.109800000000000E+006	7.331155916399774E-001	
3.117250000000000E+006	6.698413382523173E-001	
3.124700000000000E+006	6.131062980651101E-001	
3.132150000000000E+006	5.568128025729384E-001	
3.139600000000000E+006	4.904337003494022E-001	
3.147050000000000E+006	4.352417275842178E-001	
3.154500000000000E+006	3.702030998642957E-001	
3.161950000000000E+006	3.120027356706019E-001	
3.169400000000000E+006	2.453319179146233E-001	
3.176850000000000E+006	1.895673959473000E-001	
3.184300000000000E+006	1.177290669759772E-001	
3.191750000000000E+006	5.956767725412267E-002	
3.199200000000000E+006	-2.320530089336921E-003	
3.206650000000000E+006	-7.170399243816575E-002	
3.214100000000000E+006	-1.379670706403535E-001	
3.221550000000000E+006	-2.035520291358358E-001	
3.229000000000000E+006	-2.691774135088640E-001	
3.236450000000000E+006	-3.304337091062443E-001	
3.243900000000000E+006	-3.983120189256486E-001	
3.251350000000000E+006	-4.627844214876405E-001	
3.258800000000000E+006	-5.309941525130276E-001	
3.266250000000000E+006	-6.033169268280666E-001	
3.273700000000000E+006	-6.666583032804442E-001	
3.281150000000000E+006	-7.380512222418741E-001	
3.288600000000000E+006	-8.152438781284807E-001	
3.296050000000000E+006	-8.789736339088363E-001	
3.303500000000000E+006	-9.532278970907883E-001	
3.310950000000000E+006	-1.020398271265481E+000	
3.318400000000000E+006	-1.093400454637383E+000	
3.325850000000000E+006	-1.164351824120732E+000	
3.333300000000000E+006	-1.231678744916064E+000	
3.340750000000000E+006	-1.305928371535720E+000	
3.348200000000000E+006	-1.386724149727811E+000	
3.355650000000000E+006	-1.450682405498124E+000	
3.363100000000000E+006	-1.524062743694529E+000	
3.370550000000000E+006	-1.596712993165151E+000	
3.378000000000000E+006	-1.675769144282572E+000	
3.385450000000000E+006	-1.748217347374960E+000	
3.392900000000000E+006	-1.819847815404581E+000	
3.400350000000000E+006	-1.904272034226255E+000	
3.407800000000000E+006	-1.978779181609772E+000	
3.415250000000000E+006	-2.059088153188697E+000	
3.422700000000000E+006	-2.138301598388227E+000	
3.430150000000000E+006	-2.215514638318522E+000	
3.437600000000000E+006	-2.295206479844794E+000	
3.445050000000000E+006	-2.373419401820828E+000	
3.452500000000000E+006	-2.458432136977833E+000	
3.459950000000000E+006	-2.537744667055737E+000	
3.467400000000000E+006	-2.624801977965983E+000	
3.474850000000000E+006	-2.703979090252032E+000	
3.482300000000000E+006	-2.781460843041240E+000	
3.489750000000000E+006	-2.865015899694818E+000	
3.497200000000000E+006	-2.949544494474781E+000	
3.504650000000000E+006	-3.039109850214124E+000	
3.512100000000000E+006	-3.122180922043865E+000	
3.519550000000000E+006	-3.212505380252264E+000	
3.527000000000000E+006	-3.298041286939109E+000	
3.534450000000000E+006	-3.382301577651111E+000	
3.541900000000000E+006	-3.469148028865544E+000	
3.549350000000000E+006	-3.558532248626419E+000	
3.556800000000000E+006	-3.648010684048932E+000	
3.564250000000000E+006	-3.734570711626840E+000	
3.571700000000000E+006	-3.835296649263317E+000	
3.579150000000000E+006	-3.920353041278931E+000	
3.586600000000000E+006	-4.014951780299080E+000	
3.594050000000000E+006	-4.107504469422789E+000	
3.601500000000000E+006	-4.197070272569405E+000	
3.608950000000000E+006	-4.289498271959703E+000	
3.616400000000000E+006	-4.386351665570906E+000	
3.623850000000000E+006	-4.484724127733051E+000	
3.631300000000000E+006	-4.581116608079012E+000	
3.638750000000000E+006	-4.685504515185512E+000	
3.646200000000000E+006	-4.784668566783604E+000	
3.653650000000000E+006	-4.880169033135283E+000	
3.661100000000000E+006	-4.986327529692102E+000	
3.668550000000000E+006	-5.084416862184443E+000	
3.676000000000000E+006	-5.184928953788062E+000	
3.683450000000000E+006	-5.288502931600482E+000	
3.690900000000000E+006	-5.400309175494314E+000	
3.698350000000000E+006	-5.496640964186060E+000	
3.705800000000000E+006	-5.607843179297559E+000	
3.713250000000000E+006	-5.714869068856644E+000	
3.720700000000000E+006	-5.822412133817472E+000	
3.728150000000000E+006	-5.926842003738822E+000	
3.735600000000000E+006	-6.044807820025035E+000	
3.743050000000000E+006	-6.154996394024462E+000	
3.750500000000000E+006	-6.272688719153144E+000	
3.757950000000000E+006	-6.387937759156069E+000	
3.765400000000000E+006	-6.504734589318916E+000	
3.772850000000000E+006	-6.624450151845301E+000	
3.780300000000000E+006	-6.744095683292553E+000	
3.787750000000000E+006	-6.868331993706659E+000	
3.795200000000000E+006	-6.986303495141464E+000	
3.802650000000000E+006	-7.110228002591964E+000	
3.810100000000000E+006	-7.239729605199567E+000	
3.817550000000000E+006	-7.365013953851745E+000	
3.825000000000000E+006	-7.498720201406726E+000	
3.832450000000000E+006	-7.628333260482063E+000	
3.839900000000000E+006	-7.760211334297085E+000	
3.847350000000000E+006	-7.891275553552883E+000	
3.854800000000000E+006	-8.032685442195966E+000	
3.862250000000000E+006	-8.174183652589131E+000	
3.869700000000000E+006	-8.311798758625557E+000	
3.877150000000000E+006	-8.455920715715434E+000	
3.884600000000000E+006	-8.595008369488234E+000	
3.892050000000000E+006	-8.746910044697957E+000	
3.899500000000000E+006	-8.888502959957346E+000	
3.906950000000000E+006	-9.043193586937910E+000	
3.914400000000000E+006	-9.191527963059905E+000	
3.921850000000000E+006	-9.345372668860048E+000	
3.929300000000000E+006	-9.503066582314728E+000	
3.936750000000000E+006	-9.665050454843239E+000	
3.944200000000000E+006	-9.822604856520094E+000	
3.951650000000000E+006	-9.993618404230270E+000	
3.959100000000000E+006	-1.015763965143846E+001	
3.966550000000000E+006	-1.032694213840764E+001	
3.974000000000000E+006	-1.049426311745793E+001	
3.981450000000000E+006	-1.067645404896254E+001	
3.988900000000000E+006	-1.085867187805831E+001	
3.996350000000000E+006	-1.103140686999313E+001	
4.003800000000000E+006	-1.121526827900124E+001	
4.011250000000000E+006	-1.140490465624421E+001	
4.018700000000000E+006	-1.159064820711464E+001	
4.026150000000000E+006	-1.178504352134343E+001	
4.033600000000000E+006	-1.198399102959851E+001	
4.041050000000000E+006	-1.218588964662280E+001	
4.048500000000000E+006	-1.239600152411754E+001	
4.055950000000000E+006	-1.259758301284214E+001	
4.063400000000000E+006	-1.281429670741782E+001	
4.070850000000000E+006	-1.303069464090477E+001	
4.078300000000000E+006	-1.325503359112287E+001	
4.085750000000000E+006	-1.348633538036635E+001	
4.093200000000000E+006	-1.371572660747664E+001	
4.100650000000000E+006	-1.395380058324158E+001	
4.108100000000000E+006	-1.419972199517289E+001	
4.115550000000000E+006	-1.445500588722807E+001	
4.123000000000000E+006	-1.470873362301672E+001	
4.130450000000000E+006	-1.498064640235392E+001	
4.137900000000000E+006	-1.523680501457526E+001	
4.145350000000000E+006	-1.551969837228952E+001	
4.152800000000000E+006	-1.581460170569932E+001	
4.160250000000000E+006	-1.610689099906667E+001	
4.167700000000000E+006	-1.639683017691117E+001	
4.175150000000000E+006	-1.672925988964025E+001	
4.182600000000000E+006	-1.705605830752545E+001	
4.190050000000000E+006	-1.737481217268921E+001	
4.197500000000000E+006	-1.772020017967220E+001	
4.204950000000000E+006	-1.809459927693455E+001	
4.212400000000000E+006	-1.846082215250740E+001	
4.219850000000000E+006	-1.884990632207397E+001	
4.227300000000000E+006	-1.924922819186645E+001	
4.234750000000000E+006	-1.968011330097567E+001	
4.242200000000000E+006	-2.011447522740135E+001	
4.249650000000000E+006	-2.056523417539514E+001	
4.257100000000000E+006	-2.104659676766610E+001	
4.264550000000000E+006	-2.156745946945932E+001	
4.272000000000000E+006	-2.209385803412321E+001	
4.279450000000000E+006	-2.266219630561290E+001	
4.286900000000000E+006	-2.323888793008733E+001	
4.294350000000000E+006	-2.387254421272245E+001	
4.301800000000000E+006	-2.452955735735165E+001	
4.309250000000000E+006	-2.527192375450993E+001	
4.316700000000000E+006	-2.602179006706945E+001	
4.324150000000000E+006	-2.684315880012453E+001	
4.331600000000000E+006	-2.775102534303663E+001	
4.339050000000000E+006	-2.868171725288901E+001	
4.346500000000000E+006	-2.972725568482781E+001	
4.353950000000000E+006	-3.074036760395270E+001	
4.361400000000000E+006	-3.176882649229357E+001	
4.368850000000000E+006	-3.269471231999201E+001	
4.376300000000000E+006	-3.352261501823415E+001	
4.383750000000000E+006	-3.384381942518579E+001	
4.391200000000000E+006	-3.369509505880942E+001	
4.398650000000000E+006	-3.316702115100799E+001	
4.406100000000000E+006	-3.234923308947634E+001	
4.413550000000000E+006	-3.133407209239391E+001	
4.421000000000000E+006	-3.034460633829606E+001	
4.428450000000000E+006	-2.935809648014044E+001	
4.435900000000000E+006	-2.842800858519847E+001	
4.443350000000000E+006	-2.754370048729799E+001	
4.450800000000000E+006	-2.674159194418060E+001	
4.458250000000000E+006	-2.598653063315857E+001	
4.465700000000000E+006	-2.527647440147575E+001	
4.473150000000000E+006	-2.462250470102640E+001	
4.480600000000000E+006	-2.402880696050968E+001	
4.488050000000000E+006	-2.346397167558886E+001	
